Second,CH1,CH2,CH3,
0.0152,-10.6,-3,13.2, 
0.0153,-10.4,-4.4,13.8, 
0.0154,-10,-4.8,14, 
0.0155,-9.8,-5.8,14.6, 
0.0156,-9.8,-6.2,14.6, 
0.0157,-9.4,-7.2,15.4, 
0.0158,-9.2,-7.6,15.2, 
0.0159,-8.6,-8.4,15.8, 
0.016,-8.6,-8.8,15.8, 
0.0161,-8.4,-9.4,16.6, 
0.0162,-8.4,-10,16.2, 
0.0163,-8,-10.4,16.8, 
0.0164,-8,-10.6,16.8, 
0.0165,-7.8,-10.8,17.4, 
0.0166,-7.8,-10.8,17.4, 
0.0167,-7.8,-11.2,17.6, 
0.0168,-7.8,-11.4,17.4, 
0.0169,-7.6,-11.6,17.6, 
0.017,-7.6,-11.4,17.4, 
0.0171,-7.2,-11.6,17.2, 
0.0172,-7.2,-11.6,17.2, 
0.0173,-6.6,-11.2,16.4, 
0.0174,-6.4,-11.4,16.2, 
0.0175,-5.6,-10.8,15.4, 
0.0176,-5.2,-11,15.2, 
0.0177,-4.2,-11.6,14.4, 
0.0178,-4.2,-11.4,14, 
0.0179,-3,-11.6,13.2, 
0.018,-3,-11.4,13, 
0.0181,-2,-11.6,12.4, 
0.0182,-1.8,-11.6,12, 
0.0183,-0.4,-11.2,11, 
0.0184,0,-11.4,10.6, 
0.0185,0.8,-11.6,9.8, 
0.0186,1,-11.4,9.8, 
0.0187,2,-11.6,8.8, 
0.0188,2.2,-11.6,8.4, 
0.0189,3.2,-11.4,8, 
0.019,3.8,-11.6,7.6, 
0.0191,4.8,-11.8,6.8, 
0.0192,5,-11.6,6.8, 
0.0193,5.8,-11.6,6.2, 
0.0194,5.8,-11.6,5.8, 
0.0195,6.6,-11.8,5.2, 
0.0196,6.8,-11.8,4.8, 
0.0197,7.4,-12,4.6, 
0.0198,7.2,-12.2,4.6, 
0.0199,7.6,-11.8,4.2, 
0.02,7.6,-12.2,4.4, 
0.0201,8.2,-12.2,3.8, 
0.0202,8.2,-12.2,3.8, 
0.0203,8.4,-12.6,3.6, 
0.0204,8.4,-12.2,3.4, 
0.0205,8.8,-12.2,3.2, 
0.0206,9,-12.2,3, 
0.0207,8.6,-11.8,2.6, 
0.0208,9.2,-12.2,2.4, 
0.0209,9.6,-11.6,1.6, 
0.021,9.4,-11.6,1.6, 
0.0211,10.2,-11.2,0.8, 
0.0212,10.8,-11.4,0.4, 
0.0213,11.2,-10.8,-0.4, 
0.0214,11.2,-10.8,-0.6, 
0.0215,12,-11,-1.8, 
0.0216,11.8,-10.6,-2.2, 
0.0217,12.2,-10.2,-3.2, 
0.0218,12.8,-10.2,-3.2, 
