Second,CH1,CH2,CH3,
0.2552,-8,24,-8, 
0.2556,-8,16,-16, 
0.256,-8,16,-8, 
0.2564,-16,16,0, 
0.2568,-16,16,-8, 
0.2572,-16,24,0, 
0.2576,-16,16,0, 
0.258,-16,16,0, 
0.2584,-16,16,0, 
0.2588,-16,16,0, 
0.2592,-16,16,0, 
0.2596,-16,16,8, 
0.26,-16,16,8, 
0.2604,-24,16,0, 
0.2608,-16,16,8, 
0.2612,-16,16,8, 
0.2616,-16,8,8, 
0.262,-24,8,16, 
0.2624,-16,0,16, 
0.2628,-24,0,16, 
0.2632,-24,0,16, 
0.2636,-24,-8,16, 
0.264,-16,-8,24, 
0.2644,-24,-8,16, 
0.2648,-16,-8,16, 
0.2652,-8,-8,16, 
0.2656,-8,-8,16, 
0.266,0,-16,16, 
0.2664,0,-16,16, 
0.2668,8,-24,16, 
0.2672,8,-24,16, 
0.2676,8,-24,8, 
0.268,16,-24,8, 
0.2684,16,-16,0, 
0.2688,16,-16,-8, 
0.2692,24,-16,-16, 
0.2696,32,-8,-16, 
0.27,32,-16,-24, 
