Second,CH1,CH2,CH3,
0.212,16,-16,8, 
0.2124,16,-8,0, 
0.2128,16,-8,8, 
0.2132,24,-8,0, 
0.2136,24,-8,0, 
0.214,16,-8,0, 
0.2144,16,-8,0, 
0.2148,24,-8,0, 
0.2152,24,-8,0, 
0.2156,24,-8,-8, 
0.216,24,-8,0, 
0.2164,24,-8,-8, 
0.2168,24,-8,-8, 
0.2172,16,-8,-8, 
0.2176,24,-8,-16, 
0.218,24,-8,-8, 
0.2184,24,-8,-16, 
0.2188,24,0,-16, 
0.2192,24,0,-16, 
0.2196,24,8,-24, 
0.22,32,0,-16, 
0.2204,24,8,-24, 
0.2208,24,8,-24, 
0.2212,16,16,-16, 
0.2216,16,16,-16, 
0.222,8,16,-16, 
0.2224,0,16,-16, 
0.2228,0,24,-16, 
0.2232,0,24,-16, 
0.2236,-8,24,-16, 
0.224,0,24,-16, 
0.2244,-8,24,-8, 
0.2248,-8,24,0, 
0.2252,-16,16,8, 
0.2256,-16,16,16, 
0.226,-24,16,16, 
0.2264,-24,16,16, 
0.2268,-24,16,24, 
0.2272,-24,16,24, 
0.2276,-16,8,16, 
0.228,-16,0,16, 
0.2284,0,-8,16, 
0.2288,0,-8,16, 
0.2292,0,-16,16, 
0.2296,0,-8,16, 
0.23,8,-16,16, 
0.2304,8,-16,16, 
0.2308,8,-16,16, 
0.2312,8,-16,16, 
0.2316,8,-8,8, 
0.232,16,-16,8, 
0.2324,16,-8,0, 
0.2328,16,-8,0, 
0.2332,24,-16,8, 
0.2336,16,-8,0, 
0.234,24,-8,0, 
0.2344,16,-8,0, 
0.2348,24,-8,-8, 
0.2352,24,-8,0, 
0.2356,16,-8,-8, 
0.236,24,-8,0, 
0.2364,24,-8,-8, 
0.2368,24,-8,-8, 
0.2372,24,-8,-8, 
0.2376,24,-8,-8, 
0.238,24,-8,-16, 
0.2384,24,-8,-16, 
0.2388,24,-8,-16, 
0.2392,32,0,-16, 
0.2396,24,0,-16, 
0.24,24,8,-16, 
0.2404,24,0,-24, 
0.2408,24,8,-24, 
0.2412,16,8,-16, 
0.2416,16,8,-16, 
0.242,8,16,-16, 
0.2424,8,16,-16, 
0.2428,0,24,-16, 
0.2432,0,24,-16, 
0.2436,0,24,-16, 
0.244,0,24,-16, 
0.2444,-8,24,-8, 
0.2448,-8,16,-8, 
0.2452,-16,16,8, 
0.2456,-16,8,8, 
0.246,-24,16,16, 
0.2464,-24,16,16, 
0.2468,-24,8,24, 
0.2472,-24,8,16, 
0.2476,-16,8,16, 
0.248,-8,0,16, 
0.2484,0,-8,16, 
0.2488,0,-8,16, 
0.2492,0,-8,16, 
0.2496,0,-16,16, 
0.25,8,-16,16, 
0.2504,8,-16,16, 
0.2508,8,-16,8, 
0.2512,8,-16,16, 
0.2516,8,-16,8, 
0.252,16,-16,8, 
0.2524,16,-8,0, 
0.2528,16,-16,0, 
0.2532,24,-8,8, 
0.2536,16,-8,0, 
0.254,16,-8,0, 
0.2544,16,-8,-8, 
0.2548,16,-8,0, 
0.2552,16,-8,-8, 
0.2556,24,-8,0, 
0.256,24,-8,-8, 
0.2564,24,-16,-8, 
0.2568,24,-8,-8, 
0.2572,24,-8,-8, 
0.2576,24,-8,-8, 
0.258,24,-8,-16, 
0.2584,24,-8,-16, 
0.2588,24,0,-16, 
0.2592,24,0,-16, 
0.2596,32,0,-16, 
0.26,24,0,-24, 
0.2604,32,8,-16, 
0.2608,24,8,-24, 
0.2612,16,8,-16, 
0.2616,8,8,-16, 
0.262,8,16,-16, 
